entry_id,line_number,entry_date,timestamp,entity_id,cost_center_id,account_code,account_name,financial_statement,financial_class,entry_type,currency_code,amount_local,exchange_rate_to_usd,amount_usd,document_reference,description
GL-2024-00000001,1,2024-01-01,2024-01-01 00:00:09,ENT-03,CC-500,6.1.01.01,Gastos de Salarios y Prestaciones de Personal,INCOME_STATEMENT,GASTOS,DEBIT,COP,170518073.85,0.0002536460154885451,43251.23,DOC-2401-149951,Dispersión de nómina y cargas laborales ref: DOC-2401-149951
GL-2024-00000001,2,2024-01-01,2024-01-01 00:00:09,ENT-03,CC-500,1.1.02.01,Banco Operativo Principal,BALANCE_SHEET,ACTIVO,CREDIT,COP,170518073.85,0.0002536460154885451,43251.23,DOC-2401-149951,Dispersión de nómina y cargas laborales ref: DOC-2401-149951
GL-2024-00000002,1,2024-01-01,2024-01-01 00:03:58,ENT-01,CC-300,5.1.01.01,Costo de Ventas - Infraestructura de Entrega,INCOME_STATEMENT,COSTOS,DEBIT,USD,3986.35,1.0,3986.35,DOC-2401-184217,Reconocimiento de costo directo por entrega de servicio ref: DOC-2401-184217
GL-2024-00000002,2,2024-01-01,2024-01-01 00:03:58,ENT-01,CC-300,1.1.04.01,Inventario de Servidores y Equipos,BALANCE_SHEET,ACTIVO,CREDIT,USD,3986.35,1.0,3986.35,DOC-2401-184217,Reconocimiento de costo directo por entrega de servicio ref: DOC-2401-184217
GL-2024-00000003,1,2024-01-01,2024-01-01 00:05:21,ENT-03,CC-400,1.1.02.01,Banco Operativo Principal,BALANCE_SHEET,ACTIVO,DEBIT,COP,93221570.84,0.0002536460154885451,23645.28,DOC-2401-970659,Servicios profesionales de ingeniería y datos ref: DOC-2401-970659
GL-2024-00000003,2,2024-01-01,2024-01-01 00:05:21,ENT-03,CC-400,4.1.02.01,Ingresos por Servicios de Consultoría e Implementación,INCOME_STATEMENT,INGRESOS,CREDIT,COP,93221570.84,0.0002536460154885451,23645.28,DOC-2401-970659,Servicios profesionales de ingeniería y datos ref: DOC-2401-970659
GL-2024-00000004,1,2024-01-01,2024-01-01 00:06:31,ENT-02,CC-100,2.1.01.01,Cuentas por Pagar Proveedores,BALANCE_SHEET,PASIVO,DEBIT,EUR,12825.7,1.080609434159509,13859.57,DOC-2401-568051,Pago electrónico a proveedor de hardware ref: DOC-2401-568051
GL-2024-00000004,2,2024-01-01,2024-01-01 00:06:31,ENT-02,CC-100,1.1.02.01,Banco Operativo Principal,BALANCE_SHEET,ACTIVO,CREDIT,EUR,12825.7,1.080609434159509,13859.57,DOC-2401-568051,Pago electrónico a proveedor de hardware ref: DOC-2401-568051
GL-2024-00000005,1,2024-01-01,2024-01-01 00:21:38,ENT-01,CC-300,5.1.01.01,Costo de Ventas - Infraestructura de Entrega,INCOME_STATEMENT,COSTOS,DEBIT,USD,5525.99,1.0,5525.99,DOC-2401-340481,Reconocimiento de costo directo por entrega de servicio ref: DOC-2401-340481
GL-2024-00000005,2,2024-01-01,2024-01-01 00:21:38,ENT-01,CC-300,1.1.04.01,Inventario de Servidores y Equipos,BALANCE_SHEET,ACTIVO,CREDIT,USD,5525.99,1.0,5525.99,DOC-2401-340481,Reconocimiento de costo directo por entrega de servicio ref: DOC-2401-340481
