account_code,account_name,statement,financial_class,subclass,normal_balance
1.1.01.01,Caja Chica y Fondos Fijos,BALANCE_SHEET,ACTIVO,ACTIVO_CORRIENTE,DEBIT
1.1.02.01,Banco Operativo Principal,BALANCE_SHEET,ACTIVO,ACTIVO_CORRIENTE,DEBIT
1.1.03.01,Cuentas por Cobrar Comerciales,BALANCE_SHEET,ACTIVO,ACTIVO_CORRIENTE,DEBIT
1.1.04.01,Inventario de Servidores y Equipos,BALANCE_SHEET,ACTIVO,ACTIVO_CORRIENTE,DEBIT
1.2.01.01,"Propiedad, Planta y Equipos de Cómputo",BALANCE_SHEET,ACTIVO,ACTIVO_NO_CORRIENTE,DEBIT
1.2.02.01,Depreciación Acumulada de Equipos,BALANCE_SHEET,ACTIVO,ACTIVO_NO_CORRIENTE,CREDIT
2.1.01.01,Cuentas por Pagar Proveedores,BALANCE_SHEET,PASIVO,PASIVO_CORRIENTE,CREDIT
2.1.02.01,Retenciones e Impuestos por Pagar,BALANCE_SHEET,PASIVO,PASIVO_CORRIENTE,CREDIT
2.1.03.01,Préstamos y Líneas de Crédito Bancario,BALANCE_SHEET,PASIVO,PASIVO_CORRIENTE,CREDIT
2.2.01.01,Deuda Corporativa a Largo Plazo,BALANCE_SHEET,PASIVO,PASIVO_NO_CORRIENTE,CREDIT
3.1.01.01,Capital Social Autorizado,BALANCE_SHEET,PATRIMONIO,CAPITAL,CREDIT
3.2.01.01,Resultados Acumulados de Ejercicios Anteriores,BALANCE_SHEET,PATRIMONIO,RESERVAS_Y_RESULTADOS,CREDIT
4.1.01.01,Ingresos por Suscripciones SaaS y Licencias,INCOME_STATEMENT,INGRESOS,INGRESOS_OPERACIONALES,CREDIT
4.1.02.01,Ingresos por Servicios de Consultoría e Implementación,INCOME_STATEMENT,INGRESOS,INGRESOS_OPERACIONALES,CREDIT
4.2.01.01,Ingresos Financieros y Rendimientos,INCOME_STATEMENT,INGRESOS,OTROS_INGRESOS,CREDIT
5.1.01.01,Costo de Ventas - Infraestructura de Entrega,INCOME_STATEMENT,COSTOS,COSTO_DE_VENTAS,DEBIT
5.1.02.01,Costo de Equipos Vendidos / Hardware,INCOME_STATEMENT,COSTOS,COSTO_DE_VENTAS,DEBIT
6.1.01.01,Gastos de Salarios y Prestaciones de Personal,INCOME_STATEMENT,GASTOS,GASTOS_ADMINISTRATIVOS,DEBIT
6.1.02.01,Gastos de Alquiler de Oficinas y Co-Working,INCOME_STATEMENT,GASTOS,GASTOS_ADMINISTRATIVOS,DEBIT
6.1.03.01,Gasto de Depreciación y Amortización,INCOME_STATEMENT,GASTOS,GASTOS_ADMINISTRATIVOS,DEBIT
6.2.01.01,"Gastos de Publicidad, Pauta Digital y Eventos",INCOME_STATEMENT,GASTOS,GASTOS_VENTAS_MARKETING,DEBIT
6.3.01.01,"Gastos de Infraestructura Cloud (AWS, Databricks, Snowflake)",INCOME_STATEMENT,GASTOS,GASTOS_TECNOLOGIA_ID,DEBIT
6.4.01.01,"Gastos Financieros, Comisiones y Diferencial Cambiario",INCOME_STATEMENT,GASTOS,GASTOS_FINANCIEROS,DEBIT
